APP,CVE ID,Second Description,AccessVector,Attack Complexity,Confidentiality Impact,Integrity Impact,Availability Impact,Base Score,Base Severity,Exploitability Score,Impact Score,Version End Excluding,Version End Including
WhatsApp,CVE-2021-24026,"Una falta de comprobación de límites dentro de la tubería de decodificación de audio para llamadas de WhatsApp en WhatsApp para Android versiones anteriores a v2.21.3, WhatsApp Business para Android versiones anteriores a v2.21.3, WhatsApp para iOS versiones anteriores a v2.21.32 y WhatsApp Business para iOS versiones anteriores a v2. 21.32, podría haber permitido una escritura fuera de límites",NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL,NULL,2.21.3,
WhatsApp,CVE-2021-24027,"Un problema de configuración de caché anterior a WhatsApp para Android versión v2.21.4.18 y WhatsApp Business para Android versión v2.21.4.18, puede haber permitido a un tercero con acceso al almacenamiento externo del dispositivo leer material TLS almacenado en caché",NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,NULL,NULL,2.21.4.18,
WhatsApp,CVE-2021-24041,Una comprobación de límites faltante en el código de desenfoque de imágenes anterior a WhatsApp para Android v2.21.22.7 y WhatsApp Business para Android v2.21.22.7 podría haber permitido una escritura fuera de límites si un usuario enviaba una imagen maliciosa,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL,NULL,2.21.22.7,
WhatsApp,CVE-2020-20096,"Whatsapp iOS 2.19.80 y anteriores y Android 2.19.222 y versiones anteriores de interfaz de usuario, no representa apropiadamente los mensajes URI al usuario, lo que resulta en una suplantación de URI por medio de mensajes especialmente diseñados",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,,2.19.222
WhatsApp,CVE-2022-27492,Un desbordamiento de enteros en WhatsApp podría haber causado una ejecución de código remota cuando es recibido un archivo de vídeo diseñado.,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,2.22.16.2,
Instagram,CVE-2020-1895,Podría presentarse un desbordamiento grande de la pila en Instagram para Android cuando se intenta cargar una imagen con dimensiones especialmente diseñadas. Esto afecta a las versiones anteriores a 128.0.0.26.128.,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,128.0.0.26.128,
Instagram,CVE-2020-20094,"Instagram iOS para iOS versiones 106.0 y anteriores y para Android versiones 107.0.0.11 y versiones anteriores de interfaz de usuario, no representa apropiadamente los mensajes URI para el usuario, lo que resulta en una suplantación de URI por medio de mensajes especialmente diseñados",NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,NULL,NULL,,107.0.0.11
Chrome,CVE-2014-3159,"La función WebContentsDelegateAndroid::OpenURLFromTab en components/web_contents_delegate_android/web_contents_delegate_android.cc en Google Chrome anterior a 36.0.1985.122 en Android no restringe debidamente la carga de URLs, lo que permite a atacantes remotos falsificar la URL en el Omnibox a través de vectores no especificados.",NETWORK,LOW,PARTIAL,PARTIAL,NONE,6.4,MEDIUM,NULL,NULL,,36.0.1985.106
Chrome,CVE-2014-3161,"La función WebMediaPlayerAndroid::load en content/renderer/media/android/webmediaplayer_android.cc en Google Chrome anterior a 36.0.1985.122 en Android no interactúa debidamente con las redirecciones, lo que permite a atacantes remotos evadir Same Origin Policy a través de un sitio web manipulado que hospeda un flujo de vídeo.",NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,NULL,NULL,,36.0.1985.106
Chrome,CVE-2014-3201,"core/rendering/compositing/RenderLayerCompositor.cpp en Blink, utilizado en Google Chrome anterior a 38.0.2125.102 en Android, no maneja debidamente cierta condición de desbordamiento de IFRAME, lo que permite a atacantes remotos falsificar contenido a través de un sitio web manipulado que interfiere con la barra de desplazamiento.",NETWORK,LOW,NONE,PARTIAL,NONE,5.0,MEDIUM,NULL,NULL,,38.0.2125.101
Chrome,CVE-2014-7905,"Google Chrome anterior a 39.0.2171.65 para Android no previene la navegación a una URL en los casos donde una intento para la URL no tiene CATEGORY_BROWSABLE, lo que permite a atacantes remotos evadir las restricciones de acceso a través de un sitio web manipulado.",NETWORK,LOW,NONE,PARTIAL,NONE,5.0,MEDIUM,NULL,NULL,,39.0.2171.45
Chrome,CVE-2015-1209,"Vulnerabilidad de uso después de liberación en la función VisibleSelection::nonBoundaryShadowTreeRootNode en core/editing/VisibleSelection.cpp en la implementación DOM en Blink, utilizado en Google Chrome anterior a 40.0.2214.111 en Windows, OS X, y Linux y anterior a 40.0.2214.109 en Android, permite a atacantes remotos causar una denegación de servicio o posiblemente tener otro impacto no especificado a través de código JavaScript manipulado que provoca el manejo incorrecto de una ancla shadow-root.",NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,NULL,NULL,40.0.2214.109,
Chrome,CVE-2015-1210,"La función V8ThrowException::createDOMException en bindings/core/v8/V8ThrowException.cpp en las vinculaciones V8 en Blink, utilizado en Google Chrome anterior a 40.0.2214.111 en Windows, OS X, y Linux y anterior a 40.0.2214.109 en Android, no considera correctamente las restricciones de acceso a Frame durante el lanzamiento de una excepción, lo que permite a atacantes remotos evadir Same Origin Policy a través de un sitio web manipulado.",NETWORK,LOW,NONE,PARTIAL,NONE,5.0,MEDIUM,NULL,NULL,40.0.2214.109,
Chrome,CVE-2015-1211,"La función OriginCanAccessServiceWorkers en content/browser/service_worker/service_worker_dispatcher_host.cc en Google Chrome anterior a 40.0.2214.111 en Windows, OS X, y Linux y anterior a 40.0.2214.109 en Android no restringe correctamente la esquema de la URI durante un registro Serviceworker, lo que permite a atacantes remotos ganar privilegios a través de una URI filesystem:.",NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,NULL,NULL,40.0.2214.109,
Chrome,CVE-2015-1212,"Múltiples vulnerabilidades no especificados en Google Chrome before 40.0.2214.111 en Windows, OS X, y Linux y anterior a 40.0.2214.109 en Android permiten a atacantes causar una denegación de servicio o posiblemente tener otro impacto a través de vectores desconocidos.",NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,NULL,NULL,40.0.2214.109,
Chrome,CVE-2015-1261,"android/java/src/org/chromium/chrome/browser/WebsiteSettingsPopup.java en Google Chrome anterior a 43.0.2357.65 en Android no restringe correctamente el uso de el identificador de fragmentos de una URL durante la construcción de una página emergente de información, lo que permite a atacantes remotos falsificar la barra de la URL o entregar contenidos de emergentes engañosos a través de un texto manipulado.",NETWORK,LOW,NONE,PARTIAL,NONE,5.0,MEDIUM,NULL,NULL,,42.0.2311.107
Chrome,CVE-2016-5196,"El cliente renderizado de contenido en Google Chrome anterior a 54.0.2840.85 para Android fuerza insuficientemente la Same Origin Policy entre los archivos descargados, lo que permite a un atacante remoto acceder a cualquier archivo descargado e interactuar con sitios, incluyendo aquellos en los que el usuario ha iniciado sesión, a través de una página HTML manipulada.",NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,,54.0.2840.68
Chrome,CVE-2016-5197,"El cliente de vista de contenido en Google Chrome anterior a 54.0.2840.85 para Android valida insuficientemente las URLs intencionadas, lo que permitió a un atacante remoto que ha comprometido el proceso de renderización para iniciar actividad arbitraria en el sistema a través de una página HTML manipulada.",NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,,54.0.2840.68
Telegram,CVE-2019-16248,"La funcionalidad ""delete for"" en Telegram versiones anteriores a 5.11 en Android no elimina los archivos multimedia compartidos desde el directorio de Imágenes de Telegram. En otras palabras, existe una indicación de la IU potencialmente engañosa de que un remitente puede eliminar la copia de un destinatario de una imagen enviada previamente (análoga a la funcionalidad compatible en la que un remitente puede suprimir la copia de un destinatario de un mensaje enviado previamente).",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,5.11.0,
Telegram,CVE-2020-10570,"La aplicación Telegram versiones hasta 5.12 para Android, cuando Show Popup está habilitado, podría permitir a atacantes físicamente próximos omitir restricciones previstas en la lectura y respuesta de mensajes. Esto podría interpretarse como una omisión de la funcionalidad de código de acceso.",PHYSICAL,LOW,HIGH,HIGH,NONE,6.1,MEDIUM,NULL,NULL,,5.12.0
Telegram,CVE-2020-12474,"Telegram Desktop versiones hasta 2.0.1, Telegram versiones hasta 6.0.1 para Android y Telegram versiones hasta 6.0.1 para iOS, permiten un ataque de Homógrafo IDN por medio de un Punycode en una URL pública o una URL de invitación de chat grupal.",NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,,6.0.1
Telegram,CVE-2021-27351,"La funcionalidad Terminate Session en la aplicación Telegram hasta la versión 7.2.1 para Android, y hasta la versión 2.4.7 para Windows y UNIX, presenta una fallo al invalidar una sesión activa recientemente",NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,NULL,NULL,,7.2.1
Telegram,CVE-2021-31315,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por un Desbordamiento en la región Stack de la Memoria en la función blit de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de pila de Telegram fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31317,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una Confusión de Tipos en el constructor de VDasher de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila de Telegram fuera de límites en un dispositivo víctima por medio de una pegatina animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31318,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una Confusión de Tipos en la función LOTCompLayerItem::LOTCompLayerItem de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31319,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por un Desbordamiento de Enteros en la función LOTGradient::populate de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31320,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función VGradientCache::generateGradientColorTable de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría sobrescribir la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,NONE,HIGH,HIGH,7.1,HIGH,NULL,NULL,7.1.0,
Telegram,CVE-2021-31321,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por un Desbordamiento en la región Stack de la Memoria en la función gray_split_cubic de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría sobrescribir la memoria de pila de Telegram fuera de límites en un dispositivo víctima por medio de una pegatina animada maliciosa",LOCAL,LOW,NONE,HIGH,HIGH,7.1,HIGH,NULL,NULL,7.1.0,
Telegram,CVE-2021-31322,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función LOTGradient::populate de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-31323,"Telegram Android versiones anteriores a 7.1,.0 (2090), Telegram iOS versiones anteriores a 7.1, y Telegram macOS versiones anteriores a 7.1,, están afectados por una vulnerabilidad de Desbordamiento del Búfer en la región Heap de la memoria en la función LottieParserImpl::parseDashProperty de su derivación personalizada de la biblioteca rlottie.&#xa0;Un atacante remoto podría acceder a la memoria de la pila fuera de límites en un dispositivo víctima por medio de una etiqueta animada maliciosa",LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,7.1.0,
Telegram,CVE-2021-36769,"Se presenta un problema de reordenación en Telegram versiones anteriores a 7.8.1 para Android, Telegram versiones anteriores a 7.8.3 para iOS y Telegram Desktop versiones anteriores a 2.8.8. Un atacante puede causar al servidor recibir mensajes en un orden diferente al que se envió al cliente",NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,NULL,NULL,7.8.1,
Shazam,CVE-2019-8791,Se presentó un problema en el análisis de los esquemas de URL. Este problema fue abordado con una comprobación de URL mejorada. Este problema fue corregido en Shazam Android App versión 9.25.0 y Shazam iOS App versión 12.11.0. El procesamiento de una URL diseñada maliciosamente puede conllevar a un redireccionamiento abierto.,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,12.11.0,
Viber,CVE-2019-18800,"Viber hasta la versión 11.7.0.5 permite a un atacante remoto que puede capturar el tráfico de Internet de una víctima robar su cuenta de Viber, porque no todo el tráfico del protocolo de Viber está encriptado. El paquete de datos TCP 9 en el puerto 4244 del dispositivo de la víctima contiene información de texto claro, como el modelo del dispositivo y la versión del sistema operativo, IMSI, y 20 bytes de udid en formato binario, que se encuentra en el desplazamiento 0x14 de este paquete. Luego, el atacante instala Viber en su dispositivo, inicia el proceso de registro para cualquier número de teléfono, pero no ingresa un pin de SMS. En cambio, cierra Viber. Luego, el atacante reescribe su udid con el udid de la víctima, modificando el archivo viber_udid, que se encuentra en la carpeta de preferencias de Viber. (El udid se almacena en un formato hexadecimal). Finalmente, el atacante inicia Viber nuevamente e ingresa el pin desde SMS.",NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,NULL,NULL,,11.7.0.5
Microsoft Excel,CVE-2022-26903,Una vulnerabilidad de Ejecución de Código Remota en Windows Graphics Component,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,NULL,NULL,,
Moments,CVE-2018-13298,"Una vulnerabilidad de canal accesible por ""non-endpoint"" en la página de privacidad de Synology Android Moments, en versiones anteriores a la 1.2.3-199, permite a los atacantes Man-in-the-Middle (MitM) ejecutar código arbitrario mediante vectores sin especificar.",NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,6.8,MEDIUM,NULL,NULL,1.2.3-199,
OneDrive,CVE-2020-0654,"Se presenta una vulnerabilidad de omisión de la característica de seguridad en la aplicación Microsoft OneDrive para Android. Esto podría permitir a un atacante omitir los requisitos de contraseña o huella dactilar de la aplicación. La actualización de seguridad aborda la vulnerabilidad corrigiendo la manera en que la aplicación Microsoft OneDrive para Android maneja el intercambio de enlaces, también se conoce como ""Microsoft OneDrive for Android Security Feature Bypass Vulnerability"".",NETWORK,LOW,HIGH,HIGH,NONE,9.1,CRITICAL,NULL,NULL,,
OneDrive,CVE-2022-23255,Una Vulnerabilidad de la función de seguridad de Microsoft OneDrive para Android,PHYSICAL,LOW,HIGH,HIGH,NONE,5.9,MEDIUM,NULL,NULL,,
OneDrive,CVE-2023-24923,Microsoft OneDrive for Android Information Disclosure Vulnerability,LOCAL,LOW,HIGH,NONE,NONE,5.5,MEDIUM,NULL,NULL,6.73,
Zoom,CVE-2022-28755,"Zoom Client for Meetings (para Android, iOS, Linux, macOS y Windows) versiones anteriores a 5.11.0, es susceptible de una vulnerabilidad de análisis de URL. Si es abierta una URL de reunión de Zoom maliciosa, el enlace malicioso puede dirigir al usuario a conectarse a una dirección de red arbitraria, lo que conlleva ataques adicionales, incluyendo la posibilidad de ejecución de código remoto mediante el lanzamiento de ejecutables desde rutas arbitrarias",NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,NULL,NULL,5.11.0,
Zoom,CVE-2022-36928,Zoom for Android clients before version 5.13.0 contain a path traversal vulnerability. A third party app could exploit this vulnerability to read and write to the Zoom application data directory.,LOCAL,LOW,HIGH,HIGH,NONE,7.1,HIGH,NULL,NULL,5.13.0,
Zoom,CVE-2023-28597,"Zoom clients prior to 5.13.5 contain an improper trust boundary implementation vulnerability. If a victim saves a local recording to an SMB location and later opens it using a link from Zoom’s web portal, an attacker positioned on an adjacent network to the victim client could set up a malicious SMB server to respond to client requests, causing the client to execute attacker controlled executables. This could result in an attacker gaining access to a user's device and data, and remote code execution.",ADJACENT_NETWORK,HIGH,HIGH,HIGH,HIGH,7.5,HIGH,NULL,NULL,5.13.5,
Zoom,CVE-2023-28599,"Zoom clients prior to 5.13.10 contain an HTML injection vulnerability.  A malicious user could inject HTML into  their display name potentially leading a victim to a malicious website during meeting creation.

",NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,NULL,NULL,5.13.10,
Zoom,CVE-2023-36532,El desbordamiento del búfer en los clientes Zoom anteriores a la versión 5.14.5 puede permitir a un usuario no autenticado activar una denegación de servicio a través del acceso a la red. ,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.14.5,
Zoom,CVE-2023-36535,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow an authenticated user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39218,Client-side enforcement of server-side security in Zoom clients before 5.14.10 may allow a privileged user to enable information disclosure via network access.,NETWORK,LOW,HIGH,NONE,NONE,4.9,MEDIUM,NULL,NULL,5.14.10,
Zoom,CVE-2023-39214,"
Exposure of sensitive information in Zoom Client SDK's before 5.15.5 may allow an authenticated user to enable a denial of service via network access.

",NETWORK,LOW,HIGH,NONE,HIGH,8.1,HIGH,NULL,NULL,5.15.5,
Zoom,CVE-2023-39215,Una autenticación inadecuada en los clientes de Zoom puede permitir que un usuario autenticado realice una denegación de servicio a través del acceso a la red.  ,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.15.5,
Zoom,CVE-2023-39199,Los problemas criptográficos con el chat durante la reunión para algunos clientes de Zoom pueden permitir que un usuario privilegiado realice una divulgación de información a través del acceso a la red.,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39204,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.15.10,
Zoom,CVE-2023-39205,La verificación de condiciones inadecuadas en Zoom Team Chat para clientes de Zoom puede permitir que un usuario autenticado lleve a cabo una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,NULL,NULL,5.16.0,
Zoom,CVE-2023-39206,El desbordamiento del búfer en algunos clientes de Zoom puede permitir que un usuario no autenticado realice una denegación de servicio a través del acceso a la red.,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,NULL,NULL,5.16.0,
